assessmentId,SCI_NAME,Phylacine ,Phylogeny,,Total_Geo_Area_KM2,Current_Area_KM2,Extinct_Area_KM2,Scaled_Log_Current_Area_KM2,CurrentArea_TotalArea,Scaled_CurrentArea_TotalArea,Area.Method,Area.Source,Body_Mass_g,Scaled_Log_Mass_g,Mass.Method,Body_Mass_Source,Brain_mass_g,Scaled_Log_Brain_Mass_g,BrainMass_Method,BrainMass_Source,Generation_time_d,Scaled_Log_Generation_time_d,Generation_time_Method,Generation_time_Source,IUCN_Threats:,IUCNredlist_status,1_Residential_&_commercial_development,2_Agriculture_&_aquaculture,3_Energy_production_&_mining,4_Transportation_&_service_corridors,5_Biological_resource_use,6_Human_intrusions_&_disturbance,7_Natural_system_modifications,"8_Invasive_and_other_problematic_species,_genes_&_diseases",9_Pollution,10_Geological_events,11_Climate_change_&_severe_weather,12_Other_options
259025524,Acinonyx_jubatus,Acinonyx_jubatus,Acinonyx_jubatus,,42156916.23,5980629.084,36176287.15,0.572398261,0.141865905,-5.151389365,Extraction of polygon shapefile using R packages,IUCN Red List,46700,-0.122699565,Reported,PHYLACINE 1.2.1,115.0121905,1.02296398,Imputed_825,COMBINE,2190,0.313255481,Imputed_825,COMBINE,,Vulnerable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No
115201714,Acomys_johannis,Acomys_johannis,Acomys_johannis,,458695.5264,458695.5264,0,-0.585165445,1,0.227841744,Extraction of polygon shapefile using R packages,IUCN Red List,18.5,-0.14348388,Assumed isometric based on head-body length,PHYLACINE 1.2.1,0.969707608,-0.615097876,Imputed_825,COMBINE,704.2210315,-1.134055461,Imputed_825,COMBINE,,Least Concern,No,No,No,No,No,No,No,No,No,No,No,No
22458544,Aethomys_stannarius,Aethomys_stannarius,Aethomys_stannarius,,170966.1972,170966.1972,0,-1.030052778,1,0.227841744,Extraction of polygon shapefile using R packages,IUCN Red List,107.6,-0.143444209,Reported,PHYLACINE 1.2.1,1.344373483,-0.503046165,Imputed_825,COMBINE,589.2389796,-1.361453959,Imputed_825,COMBINE,,Data Deficient,No,No,No,No,No,No,No,No,No,No,No,No
143160967,Alcelaphus_buselaphus,Alcelaphus_buselaphus,Alcelaphus_buselaphus,,7327360.004,7215709.806,111650.1983,0.657025962,0.984762561,0.132325546,Extraction of polygon shapefile using R packages,IUCN Red List,171001.5,-0.06735598,Reported,PHYLACINE 1.2.1,294.8333333,1.34584729,Imputed_825,COMBINE,2863.875333,0.655480301,Imputed_825,COMBINE,,Least Concern,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,No
161178708,Allochrocebus_preussi,Allochrocebus_preussi,Cercopithecus_preussi ,,17667.54833,17667.54833,0,-2.053211834,1,0.227841744,Extraction of polygon shapefile using R packages,IUCN Red List,5250,-0.141154624,Reported,PHYLACINE 1.2.1,64.19614551,0.822966944,Imputed_825,COMBINE,3285,0.830488359,Imputed_825,COMBINE,,Endangered,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No
22183259,Anomalurus_beecrofti,Anomalurus_beecrofti,Anomalurus_beecrofti,,3387836.416,3387836.416,0,0.316202709,1,0.227841744,Extraction of polygon shapefile using R packages,IUCN Red List,389,-0.14331892,Reported,PHYLACINE 1.2.1,4.673355361,-0.075695273,Imputed_825,COMBINE,1046.972901,-0.628174688,Imputed_825,COMBINE,,Least Concern,No,No,No,No,No,No,No,No,No,No,No,No
115056429,Anomalurus_derbianus,Anomalurus_derbianus,Anomalurus_derbianus,,6025374.598,6025374.598,0,0.57575835,1,0.227841744,Extraction of polygon shapefile using R packages,IUCN Red List,650,-0.143202713,Reported,PHYLACINE 1.2.1,8.080381977,0.11211418,Imputed_825,COMBINE,1274.326452,-0.377490053,Imputed_825,COMBINE,,Least Concern,No,No,No,No,No,No,No,No,No,No,No,No
164575819,Aonyx_capensis,Aonyx_capensis,Aonyx_capensis,,12802244.06,12802244.06,0,0.915486988,1,0.227841744,Extraction of polygon shapefile using R packages,IUCN Red List,18999.8,-0.135032709,Reported,PHYLACINE 1.2.1,98.03668,0.968189346,Imputed_825,COMBINE,1622.093517,-0.069675127,Imputed_825,COMBINE,,Near Threatened,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No
164576337,Aonyx_congicus,Aonyx_congicus,Aonyx_congicus,,2971949.664,2971949.664,0,0.257162142,1,0.227841744,Extraction of polygon shapefile using R packages,IUCN Red List,23800.2,-0.132895395,Reported,PHYLACINE 1.2.1,98.03668,0.968189346,Imputed_825,COMBINE,2354.85,0.405836636,Imputed_825,COMBINE,,Near Threatened,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No
17969996,Arctocebus_calabarensis,Arctocebus_calabarensis,Arctocebus_calabarensis,,150168.3081,150168.3081,0,-1.088523483,1,0.227841744,Extraction of polygon shapefile using R packages,IUCN Red List,210,-0.143398617,Reported,PHYLACINE 1.2.1,7.06034,0.065828773,Imputed_825,COMBINE,1672.7732,-0.030429351,Imputed_825,COMBINE,,Near Threatened,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No
