Threat_Category_ID,Model,Predictor,Effect_size,SE,Sig,Std_Effect_size,Std_SE
1,Residential_&_commercial_development,Scaled_CurrentByTotalArea_km2,-0.074458,0.058164,0.20049,-0.052378738,0.040916449
1,Residential_&_commercial_development,Scaled_Log_Brain_Mass_g,1.421531,0.39527,3.23E-04,1,0.27805936
1,Residential_&_commercial_development,Scaled_Log_CurrentArea_km2,-0.14812,0.110484,0.1800353,-0.104197517,0.077721837
1,Residential_&_commercial_development,Scaled_Log_GenerationTime_d,-0.287104,0.358152,0.4227691,-0.20196816,0.251948076
1,Residential_&_commercial_development,Scaled_Log_Mass_g,-0.609533,0.488418,0.2120399,-0.428786287,0.343585894
2,Agriculture_&_aquaculture,Scaled_CurrentByTotalArea_km2,0.19662,0.16248,0.2262222,0.221851129,0.183330136
2,Agriculture_&_aquaculture,Scaled_Log_Brain_Mass_g,0.80532,0.25148,0.0013635,0.908662146,0.283751001
2,Agriculture_&_aquaculture,Scaled_Log_CurrentArea_km2,-0.87537,0.16893,2.20E-07,-0.987701265,0.190607828
2,Agriculture_&_aquaculture,Scaled_Log_GenerationTime_d,0.88627,0.27524,0.0012817,1,0.310559987
2,Agriculture_&_aquaculture,Scaled_Log_Mass_g,-0.67742,0.27964,0.0154151,-0.764349465,0.315524614
3,Energy_production_&_mining,Scaled_CurrentByTotalArea_km2,-0.056286,0.182506,0.757772,-0.047382338,0.153636089
3,Energy_production_&_mining,Scaled_Log_Brain_Mass_g,0.258192,0.302001,0.392586,0.217349616,0.254228642
3,Energy_production_&_mining,Scaled_Log_CurrentArea_km2,-0.37937,0.184988,0.040288,-0.319358942,0.155725471
3,Energy_production_&_mining,Scaled_Log_GenerationTime_d,1.187911,0.379189,0.001732,1,0.319206574
3,Energy_production_&_mining,Scaled_Log_Mass_g,-0.329559,0.277246,0.234562,-0.277427349,0.233389538
4,Transportation_&_service_corridors,Scaled_CurrentByTotalArea_km2,0.14897,0.25041,0.55192,0.093562954,0.157273943
4,Transportation_&_service_corridors,Scaled_Log_Brain_Mass_g,0.32606,0.51872,0.52962,0.204787117,0.325790264
4,Transportation_&_service_corridors,Scaled_Log_CurrentArea_km2,-0.43989,0.2167,0.04236,-0.276279841,0.136101847
4,Transportation_&_service_corridors,Scaled_Log_GenerationTime_d,1.59219,0.62159,0.01042,1,0.390399387
4,Transportation_&_service_corridors,Scaled_Log_Mass_g,-0.12088,0.26389,0.64691,-0.075920587,0.16574027
5,Biological_resource_use,Scaled_CurrentByTotalArea_km2,0.152524,0.085151,0.073257,0.160506468,0.089607447
5,Biological_resource_use,Scaled_Log_Brain_Mass_g,0.950267,0.302532,0.001683,1,0.318365259
5,Biological_resource_use,Scaled_Log_CurrentArea_km2,-0.537437,0.127877,2.64E-05,-0.565564205,0.134569547
5,Biological_resource_use,Scaled_Log_GenerationTime_d,-0.484786,0.274056,0.076906,-0.510157671,0.288398945
5,Biological_resource_use,Scaled_Log_Mass_g,-0.041979,0.239713,0.860983,-0.044176005,0.252258576
6,Human_intrusions_&_disturbance,Scaled_CurrentByTotalArea_km2,-0.209396,0.087512,0.016722,-0.194211929,0.081166184
6,Human_intrusions_&_disturbance,Scaled_Log_Brain_Mass_g,1.078183,0.52664,0.04063,1,0.488451404
6,Human_intrusions_&_disturbance,Scaled_Log_CurrentArea_km2,-0.488982,0.171529,0.004362,-0.453524123,0.159090804
6,Human_intrusions_&_disturbance,Scaled_Log_GenerationTime_d,0.486412,0.505278,0.335718,0.451140484,0.468638441
6,Human_intrusions_&_disturbance,Scaled_Log_Mass_g,-0.327055,0.268598,0.223363,-0.303339044,0.249120975
9,Pollution,Scaled_CurrentByTotalArea_km2,-0.121173,0.093567,0.195308,-0.159549633,0.123200552
9,Pollution,Scaled_Log_Brain_Mass_g,0.759469,0.60953,0.2127676,1,0.802573904
9,Pollution,Scaled_Log_CurrentArea_km2,-0.279026,0.175872,0.1126201,-0.367396168,0.231572322
9,Pollution,Scaled_Log_GenerationTime_d,0.228561,0.561557,0.6839981,0.300948426,0.739407402
9,Pollution,Scaled_Log_Mass_g,0.077355,0.254274,0.7609591,0.101854059,0.334804976
11,Climate_change_&_severe_weather,Scaled_CurrentByTotalArea_km2,-0.126637,0.130553,0.332046,-0.05875887,0.060575873
11,Climate_change_&_severe_weather,Scaled_Log_Brain_Mass_g,2.155198,0.61391,4.47E-04,1,0.284850858
11,Climate_change_&_severe_weather,Scaled_Log_CurrentArea_km2,-0.155349,0.162222,0.3382458,-0.07208108,0.075270114
11,Climate_change_&_severe_weather,Scaled_Log_GenerationTime_d,-1.00929,0.513035,0.0491492,-0.468305,0.238045414
11,Climate_change_&_severe_weather,Scaled_Log_Mass_g,-0.074165,0.236244,0.7535726,-0.034412151,0.109615915
All,Total_Threats_Model,Scaled_CurrentByTotalArea_km2,-0.1819,0.15398,0.237473,-0.10654499,0.090191301
All,Total_Threats_Model,Scaled_Log_Brain_Mass_g,0.93298,0.47164,0.047911,0.546477982,0.276255521
All,Total_Threats_Model,Scaled_Log_CurrentArea_km2,-1.70726,0.36024,2.15E-06,-1,0.211004768
All,Total_Threats_Model,Scaled_Log_GenerationTime_d,1.09918,0.46069,0.017035,0.643826951,0.269841735
All,Total_Threats_Model,Scaled_Log_Mass_g,-0.74483,0.25614,0.003639,-0.436272155,0.150029872
